2026-08-17 15:43:29.223 | INFO     | src.main:custom_print:40 - [QUALITY AUDITOR] ⚠️ TẬP 25 (ID: 1f1e6f57-9631-44f9-8e55-0301cc9ec4f2) KHÔNG ĐẠT TIÊU CHUẨN KỊCH BẢN (Chương 25: Kịch bản quá ngắn (13 từ < 1000 từ tiêu chuẩn)). Dành cho writer.write_next_chapter viết mới đủ 2500+ từ!
2026-08-17 15:43:31.027 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:43:32.441 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:43:33.843 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:43:35.081 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:43:36.550 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:45:48.263 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:45:49.527 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:45:50.551 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:45:51.759 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:45:57.654 | INFO     | src.main:custom_print:40 - [CACHE] Cache hit for call_gemini!
2026-08-17 15:46:01.947 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:46:03.386 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:46:04.962 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:46:06.215 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:48:15.247 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:48:16.432 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:48:17.726 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
2026-08-17 15:48:18.875 | WARNING  | src.main:custom_print:38 - [WARNING] API Key [Gemini] ...J_Xg is invalid (401). Permanently disabled for this run.
